updatedAt,log_return
2023-10-10,0.57843073
2023-10-11,0.56706856
2023-10-12,0.58332881
2023-10-13,0.58274437
2023-10-14,0.5794105
2023-10-15,0.5788417
2023-10-16,0.64787237
2023-10-17,0.64310131
2023-10-18,0.63941507
2023-10-19,0.66703119
2023-10-20,0.7121591
2023-10-21,0.73114221
2023-10-22,0.7337611
2023-10-23,0.78268339
2023-10-24,0.81777028
2023-10-25,0.83850235
2023-10-26,0.82925071
2023-10-27,0.84619727
2023-10-28,0.84360987
2023-10-29,0.84665186
2023-10-30,0.85223379
2023-10-31,0.83537022
2023-11-01,0.84402588
2023-11-02,0.85688276
2023-11-03,0.85531158
2023-11-04,0.86314393
2023-11-05,0.8784233
2023-11-06,0.87455101
2023-11-07,0.87084214
2023-11-08,0.8368059
2023-11-09,0.83761164
2023-11-10,1.07655616
2023-11-11,1.06089871
2023-11-12,1.06626824
2023-11-13,1.14109496
2023-11-14,1.15777691
2023-11-15,1.20411694
2023-11-16,1.31727174
2023-11-17,1.30605007
2023-11-18,1.3047274
2023-11-19,1.29290707
2023-11-20,1.32556707
2023-11-21,1.37374134
2023-11-22,1.3805605
2023-11-23,1.36180488
2023-11-24,1.35063408
2023-11-25,1.35133887
2023-11-26,1.34659653
2023-11-27,1.3628265
2023-11-28,1.3672475
2023-11-29,1.35867268
2023-11-30,1.33169525
2023-12-01,1.31788426
2023-12-02,1.32303483
2023-12-03,1.32192272
2023-12-04,1.31312486
2023-12-05,1.30745796
2023-12-06,1.30697684
2023-12-07,1.33373058
2023-12-08,1.36385615
2023-12-09,1.3716346
2023-12-10,1.15792129
2023-12-11,1.18130953
2023-12-12,1.18658463
2023-12-13,1.1398189
2023-12-14,1.11905472
2023-12-15,1.02748719
2023-12-16,0.92184629
2023-12-17,0.93794211
2023-12-18,0.95023764
2023-12-19,0.94642152
2023-12-20,0.97124156
2023-12-21,0.99330548
2023-12-22,0.95181724
2023-12-23,0.97855608
2023-12-24,0.97975964
2023-12-25,0.99252982
2023-12-26,1.0335862
2023-12-27,1.03845116
2023-12-28,1.05858098
2023-12-29,1.06132534
2023-12-30,1.08019861
2023-12-31,1.08192605
2024-01-01,1.0884671
2024-01-02,1.09533198
2024-01-03,1.13510766
2024-01-04,1.14261284
2024-01-05,1.1659813
2024-01-06,1.16579194
2024-01-07,1.13815265
2024-01-08,1.16317508
2024-01-09,1.16059385
2024-01-10,1.13487822
2024-01-11,1.13325143
2024-01-12,1.17726346
2024-01-13,1.16316129
2024-01-14,1.15277923
2024-01-15,1.15237377
2024-01-16,1.13939443
